DESCRIPTION,Tags,web_ids
BTW1 Wind Speed,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG_TOTAL1_27,F1DPPy8YwSxNYU-f1KfNW4G4PwAbwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEdfVE9UQUwxXzI3
BTW1 Active Power,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG_TOTAL1_28,F1DPPy8YwSxNYU-f1KfNW4G4PwXbwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEdfVE9UQUwxXzI4
BTW1 Wind Direction,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG_TOTAL1_29,F1DPPy8YwSxNYU-f1KfNW4G4PwZqsAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEdfVE9UQUwxXzI5
BTW2 Wind Speed,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG_TOTAL2_27,F1DPPy8YwSxNYU-f1KfNW4G4PwXrwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEdfVE9UQUwyXzI3
BTW2 Active Power,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG_TOTAL2_28,F1DPPy8YwSxNYU-f1KfNW4G4PwX7wAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEdfVE9UQUwyXzI4
BTW2 Wind Direction,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG_TOTAL2_29,F1DPPy8YwSxNYU-f1KfNW4G4PwZ6sAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEdfVE9UQUwyXzI5
BTW1 01 Active Power,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG01_WIND1_28,F1DPPy8YwSxNYU-f1KfNW4G4PwALwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEcwMV9XSU5EMV8yOA
BTW1 01 Wind Speed,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG01_WIND1_27,F1DPPy8YwSxNYU-f1KfNW4G4PwYLwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEcwMV9XSU5EMV8yNw
BTW1 02 Active Power,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG02_WIND1_28,F1DPPy8YwSxNYU-f1KfNW4G4PwArwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEcwMl9XSU5EMV8yOA
BTW1 02 Wind Speed,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG02_WIND1_27,F1DPPy8YwSxNYU-f1KfNW4G4PwYbwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEcwMl9XSU5EMV8yNw
BTW2 01 Active Power,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG03_WIND1_28,F1DPPy8YwSxNYU-f1KfNW4G4PwA7wAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEcwM19XSU5EMV8yOA
BTW2 01 Wind Speed,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG03_WIND1_27,F1DPPy8YwSxNYU-f1KfNW4G4PwYrwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEcwM19XSU5EMV8yNw
BTW2 02 Active Power,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG04_WIND1_28,F1DPPy8YwSxNYU-f1KfNW4G4PwBLwAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEcwNF9XSU5EMV8yOA
BTW2 02 Wind Speed,W-TH-BTW-MicroSCADA.D1.APL_1_P_WTG04_WIND1_27,F1DPPy8YwSxNYU-f1KfNW4G4PwY7wAAAVEgwMFAwMVBWTVBJUzAxXFctVEgtQlRXLU1JQ1JPU0NBREEuRDEuQVBMXzFfUF9XVEcwNF9XSU5EMV8yNw
