dye_abbreviation,dye_name,central_c,dipol_1,dipol_2
C3W,sCy3,C11,C2,C14
C5W,sCy5,C32,C2,C14
C7N,Cy7,C35,C2,C13
C55,Cy5.5,C39,C1,C12
C75,Cy7.5,C43,C1,C12
A35,Alexa350,C6,C2,C9
A48,Alexa488,C7,C3,C12
A53,Alexa532,C7,C15,C16
A56,Alexa568,C10,C2,C18
A59,Alexa594,C10,C2,C18
A64,Alexa647,C29,C2,C13
T39,Atto390,C7,C3,C11
T42,Atto425,C7,C3,C11
T46,Atto465,N1,C3,C12
T48,Atto488,C15,C3,C11
T49,Atto495,N1,C3,C12
T51,Atto514,C15,C3,C11
T52,Atto520,C7,C2,C13
T61,Atto610,C7,C4,C15
C3N,Cy3,C10,C2,C13
C3B,Cy3,C11,C2,C14
C5N,Cy5,C32,C2,C13
C5K,Cy5,C32,C2,C13
DCI,Cy5,C32,C2,C14
C5I,Cy5,C32,C2,C14
C3P,Cy3,C11,C2,C14
