mod_id,feat_names_mod
1,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
2,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
3,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
4,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
5,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
6,"R_cov_delta,G_delta,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
7,"R_cov_delta,G_delta,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
8,"R_cov_delta,G_delta,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
9,"R_cov_delta,G_delta,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
10,"R_cov_delta,G_delta,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
11,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
12,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
13,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
14,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
15,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
16,"R_cov_delta,Vm_delta,G_delta,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
17,"R_cov_delta,S_config,G_delta,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
19,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
30,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
31,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
32,"R_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
33,"R_delta,S_config,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
34,"R_delta,S_config,Vm_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
35,"R_delta,S_config,Vm_delta,density_avg,VEC,G_delta,E_delta,H_ch_M_L_R,H_el_M_S_R"
36,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
37,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
38,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
39,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
40,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
41,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
42,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
43,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
44,"R_cov_delta,density_avg,VEC,E_delta,H_ch_M_L_R,H_el_M_S_R"
